,Location,SessionId,Version,Level,matchId,groupId,clientId,Grade,Gender,Number.Older.Siblings,Number.Younger.Siblings,payoff,PlayerName,seekIsland,seekTime,hideIsland,hideTime
166,LF,d2s2,Kinder,1,10,2,3,0,Female,0,1,0,Pirate,4,10416,N/A,N/A
167,LF,d2s2,Kinder,1,10,3,5,0,Female,2,0,8,Farmer,N/A,N/A,8,19432
168,LF,d2s2,Kinder,1,10,3,6,0,Female,1,0,0,Pirate,3,18087,N/A,N/A
169,LF,d2s2,Kinder,1,10,4,4,0,Male,1,0,0,Farmer,N/A,N/A,3,3266
170,LF,d2s2,Kinder,1,10,4,9,0,Male,0,0,3,Pirate,3,11028,N/A,N/A
171,LF,d2s2,Kinder,1,11,0,1,0,Male,1,1,8,Pirate,8,4000,N/A,N/A
172,LF,d2s2,Kinder,1,11,0,7,0,Female,0,1,0,Farmer,N/A,N/A,8,3812
173,LF,d2s2,Kinder,1,11,1,0,0,Female,0,1,0,Pirate,8,12228,N/A,N/A
174,LF,d2s2,Kinder,1,11,1,8,0,Male,1,0,4,Farmer,N/A,N/A,4,7065
175,LF,d2s2,Kinder,1,11,2,2,0,Male,2,0,0,Pirate,8,28808,N/A,N/A
176,LF,d2s2,Kinder,1,11,2,3,0,Female,0,1,4,Farmer,N/A,N/A,4,9598
177,LF,d2s2,Kinder,1,11,3,5,0,Female,2,0,0,Pirate,4,8379,N/A,N/A
178,LF,d2s2,Kinder,1,11,3,6,0,Female,1,0,8,Farmer,N/A,N/A,8,5981
179,LF,d2s2,Kinder,1,11,4,4,0,Male,1,0,0,Pirate,8,4289,N/A,N/A
180,LF,d2s2,Kinder,1,11,4,9,0,Male,0,0,4,Farmer,N/A,N/A,4,5107
181,LF,d2s2,Kinder,1,12,0,1,0,Male,1,1,0,Farmer,N/A,N/A,8,5813
182,LF,d2s2,Kinder,1,12,0,7,0,Female,0,1,8,Pirate,8,11157,N/A,N/A
183,LF,d2s2,Kinder,1,12,1,0,0,Female,0,1,0,Farmer,N/A,N/A,8,11585
184,LF,d2s2,Kinder,1,12,1,8,0,Male,1,0,8,Pirate,8,5234,N/A,N/A
185,LF,d2s2,Kinder,1,12,2,2,0,Male,2,0,8,Farmer,N/A,N/A,8,5739
186,LF,d2s2,Kinder,1,12,2,3,0,Female,0,1,0,Pirate,3,8360,N/A,N/A
187,LF,d2s2,Kinder,1,12,3,5,0,Female,2,0,0,Farmer,N/A,N/A,3,9186
188,LF,d2s2,Kinder,1,12,3,6,0,Female,1,0,3,Pirate,3,7453,N/A,N/A
189,LF,d2s2,Kinder,1,12,4,4,0,Male,1,0,8,Farmer,N/A,N/A,8,5894
190,LF,d2s2,Kinder,1,12,4,9,0,Male,0,0,0,Pirate,4,19810,N/A,N/A
191,LF,d2s2,Kinder,1,13,0,1,0,Male,1,1,8,Pirate,8,3563,N/A,N/A
192,LF,d2s2,Kinder,1,13,0,7,0,Female,0,1,0,Farmer,N/A,N/A,8,2625
193,LF,d2s2,Kinder,1,13,1,0,0,Female,0,1,8,Pirate,8,6077,N/A,N/A
194,LF,d2s2,Kinder,1,13,1,8,0,Male,1,0,0,Farmer,N/A,N/A,8,10397
195,LF,d2s2,Kinder,1,13,2,2,0,Male,2,0,0,Pirate,8,4322,N/A,N/A
196,LF,d2s2,Kinder,1,13,2,3,0,Female,0,1,4,Farmer,N/A,N/A,4,7778
197,LF,d2s2,Kinder,1,13,3,5,0,Female,2,0,0,Pirate,8,12346,N/A,N/A
198,LF,d2s2,Kinder,1,13,3,6,0,Female,1,0,4,Farmer,N/A,N/A,4,4380
199,LF,d2s2,Kinder,1,13,4,4,0,Male,1,0,0,Pirate,4,2937,N/A,N/A
200,LF,d2s2,Kinder,1,13,4,9,0,Male,0,0,8,Farmer,N/A,N/A,8,14069
201,LF,d3s3,Kinder,1,2,0,0,1,Female,N/A,N/A,4,Farmer,N/A,N/A,4,12187
202,LF,d3s3,Kinder,1,2,0,8,1,Female,N/A,N/A,0,Pirate,3,42427,N/A,N/A
203,LF,d3s3,Kinder,1,2,1,3,1,Male,0,0,0,Farmer,N/A,N/A,3,8329
