Order,Location,Session,Game,matchId,roundId,groupId,clientId,Gender,Grade,Older siblings,Younger siblings,role,decision,decisionTime,payoff
SH-BOS,BUR,67-G1,BOS2,8,23,5,3,M,6,0,1,red,green,1187,3
SH-BOS,BUR,67-G1,SH1,5,0,3,7,M,6,0,0,yellow,in,10532,3
SH-BOS,BUR,67-G1,SH1,5,1,3,7,M,6,0,0,yellow,in,7953,3
SH-BOS,BUR,67-G1,SH1,5,2,3,7,M,6,0,0,yellow,in,1672,3
SH-BOS,BUR,67-G1,SH1,5,3,3,7,M,6,0,0,yellow,in,2234,3
SH-BOS,BUR,67-G1,SH1,5,4,3,7,M,6,0,0,yellow,in,1437,3
SH-BOS,BUR,67-G1,SH1,5,5,3,7,M,6,0,0,yellow,in,1313,3
SH-BOS,BUR,67-G1,SH1,5,6,3,7,M,6,0,0,yellow,in,1172,3
SH-BOS,BUR,67-G1,SH1,5,7,3,7,M,6,0,0,yellow,in,1985,3
SH-BOS,BUR,67-G1,SH1,5,8,3,7,M,6,0,0,yellow,in,1359,3
SH-BOS,BUR,67-G1,SH1,5,9,3,7,M,6,0,0,yellow,in,1281,3
SH-BOS,BUR,67-G1,SH1,5,10,3,7,M,6,0,0,yellow,in,1360,3
SH-BOS,BUR,67-G1,SH1,5,11,3,7,M,6,0,0,yellow,in,1297,3
SH-BOS,BUR,67-G1,SH1,5,12,3,7,M,6,0,0,yellow,in,1344,3
SH-BOS,BUR,67-G1,SH1,5,13,3,7,M,6,0,0,yellow,in,4735,3
SH-BOS,BUR,67-G1,SH1,5,14,3,7,M,6,0,0,yellow,in,1406,3
SH-BOS,BUR,67-G1,SH1,5,15,3,7,M,6,0,0,yellow,in,1266,3
SH-BOS,BUR,67-G1,SH1,5,16,3,7,M,6,0,0,yellow,in,1375,3
SH-BOS,BUR,67-G1,SH1,5,17,3,7,M,6,0,0,yellow,in,1187,3
SH-BOS,BUR,67-G1,SH1,5,18,3,7,M,6,0,0,yellow,in,2204,3
SH-BOS,BUR,67-G1,SH1,5,19,3,7,M,6,0,0,yellow,in,984,3
SH-BOS,BUR,67-G1,SH1,5,20,3,7,M,6,0,0,yellow,in,1109,3
SH-BOS,BUR,67-G1,SH1,5,21,3,7,M,6,0,0,yellow,in,1219,3
SH-BOS,BUR,67-G1,SH1,5,22,3,7,M,6,0,0,yellow,in,1250,3
SH-BOS,BUR,67-G1,SH1,5,23,3,7,M,6,0,0,yellow,in,1234,3
SH-BOS,BUR,67-G1,SH2,6,0,3,7,M,6,0,0,yellow,in,1140,3
SH-BOS,BUR,67-G1,SH2,6,1,3,7,M,6,0,0,yellow,in,1218,3
SH-BOS,BUR,67-G1,SH2,6,2,3,7,M,6,0,0,yellow,in,1234,3
SH-BOS,BUR,67-G1,SH2,6,3,3,7,M,6,0,0,yellow,in,937,3
SH-BOS,BUR,67-G1,SH2,6,4,3,7,M,6,0,0,yellow,in,1171,3
SH-BOS,BUR,67-G1,SH2,6,5,3,7,M,6,0,0,yellow,in,938,3
SH-BOS,BUR,67-G1,SH2,6,6,3,7,M,6,0,0,yellow,in,937,3
SH-BOS,BUR,67-G1,SH2,6,7,3,7,M,6,0,0,yellow,in,1015,3
SH-BOS,BUR,67-G1,SH2,6,8,3,7,M,6,0,0,yellow,in,797,3
SH-BOS,BUR,67-G1,SH2,6,9,3,7,M,6,0,0,yellow,in,1406,3
SH-BOS,BUR,67-G1,SH2,6,10,3,7,M,6,0,0,yellow,in,1297,3
SH-BOS,BUR,67-G1,SH2,6,11,3,7,M,6,0,0,yellow,in,609,3
SH-BOS,BUR,67-G1,SH2,6,12,3,7,M,6,0,0,yellow,in,532,3
SH-BOS,BUR,67-G1,SH2,6,13,3,7,M,6,0,0,yellow,in,985,3
SH-BOS,BUR,67-G1,SH2,6,14,3,7,M,6,0,0,yellow,in,953,3
SH-BOS,BUR,67-G1,SH2,6,15,3,7,M,6,0,0,yellow,in,1157,3
SH-BOS,BUR,67-G1,SH2,6,16,3,7,M,6,0,0,yellow,in,954,3
SH-BOS,BUR,67-G1,SH2,6,17,3,7,M,6,0,0,yellow,in,1297,3
SH-BOS,BUR,67-G1,SH2,6,18,3,7,M,6,0,0,yellow,in,1172,3
SH-BOS,BUR,67-G1,SH2,6,19,3,7,M,6,0,0,yellow,in,1125,3
SH-BOS,BUR,67-G1,SH2,6,20,3,7,M,6,0,0,yellow,in,1063,3
SH-BOS,BUR,67-G1,SH2,6,21,3,7,M,6,0,0,yellow,in,1032,3
SH-BOS,BUR,67-G1,SH2,6,22,3,7,M,6,0,0,yellow,in,1234,3
SH-BOS,BUR,67-G1,SH2,6,23,3,7,M,6,0,0,yellow,in,3484,3
SH-BOS,BUR,67-G1,BOS1,7,0,5,7,M,6,0,0,green,red,3860,3
SH-BOS,BUR,67-G1,BOS1,7,1,5,7,M,6,0,0,green,green,1093,1
SH-BOS,BUR,67-G1,BOS1,7,2,5,7,M,6,0,0,green,green,953,1
SH-BOS,BUR,67-G1,BOS1,7,3,5,7,M,6,0,0,green,red,906,3
SH-BOS,BUR,67-G1,BOS1,7,4,5,7,M,6,0,0,green,red,1641,3
SH-BOS,BUR,67-G1,BOS1,7,5,5,7,M,6,0,0,green,red,953,3
SH-BOS,BUR,67-G1,BOS1,7,6,5,7,M,6,0,0,green,red,922,3
SH-BOS,BUR,67-G1,BOS1,7,7,5,7,M,6,0,0,green,red,1219,3
SH-BOS,BUR,67-G1,BOS1,7,8,5,7,M,6,0,0,green,red,1094,3
SH-BOS,BUR,67-G1,BOS1,7,9,5,7,M,6,0,0,green,red,984,3
SH-BOS,BUR,67-G1,BOS1,7,10,5,7,M,6,0,0,green,red,938,3
SH-BOS,BUR,67-G1,BOS1,7,11,5,7,M,6,0,0,green,red,1062,3
SH-BOS,BUR,67-G1,BOS1,7,12,5,7,M,6,0,0,green,red,547,3
SH-BOS,BUR,67-G1,BOS1,7,13,5,7,M,6,0,0,green,red,1000,3
SH-BOS,BUR,67-G1,BOS1,7,14,5,7,M,6,0,0,green,red,1906,3
SH-BOS,BUR,67-G1,BOS1,7,15,5,7,M,6,0,0,green,red,1000,3
SH-BOS,BUR,67-G1,BOS1,7,16,5,7,M,6,0,0,green,red,968,3
SH-BOS,BUR,67-G1,BOS1,7,17,5,7,M,6,0,0,green,red,1687,3
SH-BOS,BUR,67-G1,BOS1,7,18,5,7,M,6,0,0,green,red,1907,3
SH-BOS,BUR,67-G1,BOS1,7,19,5,7,M,6,0,0,green,red,1469,3
SH-BOS,BUR,67-G1,BOS1,7,20,5,7,M,6,0,0,green,red,1141,3
SH-BOS,BUR,67-G1,BOS1,7,21,5,7,M,6,0,0,green,red,1046,3
SH-BOS,BUR,67-G1,BOS1,7,22,5,7,M,6,0,0,green,red,1062,3
SH-BOS,BUR,67-G1,BOS1,7,23,5,7,M,6,0,0,green,red,1062,3
SH-BOS,BUR,67-G1,BOS2,8,0,0,7,M,6,0,0,green,green,1781,1
SH-BOS,BUR,67-G1,BOS2,8,1,0,7,M,6,0,0,green,green,938,1
SH-BOS,BUR,67-G1,BOS2,8,2,0,7,M,6,0,0,green,green,1594,1
SH-BOS,BUR,67-G1,BOS2,8,3,0,7,M,6,0,0,green,green,1172,1
SH-BOS,BUR,67-G1,BOS2,8,4,0,7,M,6,0,0,green,red,766,3
SH-BOS,BUR,67-G1,BOS2,8,5,0,7,M,6,0,0,green,green,1141,1
SH-BOS,BUR,67-G1,BOS2,8,6,0,7,M,6,0,0,green,red,2156,3
SH-BOS,BUR,67-G1,BOS2,8,7,0,7,M,6,0,0,green,red,1594,3
SH-BOS,BUR,67-G1,BOS2,8,8,0,7,M,6,0,0,green,red,1297,3
SH-BOS,BUR,67-G1,BOS2,8,9,0,7,M,6,0,0,green,red,562,3
SH-BOS,BUR,67-G1,BOS2,8,10,0,7,M,6,0,0,green,red,547,3
